Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
-0.8993348229006605,0.06441616722330627,-0.42637834060346425,-0.5989625618053211,0.01642436664555815,0.26729348175543627,1.023138505469317,-0.26385209756726075,-0.7683932595510586,-0.34212715933991394
1.580925087317881,-0.148220862495322,-0.49356212158136265,-0.10608483656671117,-0.1768601448932558,-1.8786616205195508,-0.06265648462501135,0.04676490577712145,1.4106120904407424,1.4862524224965123
-1.1329206269417755,0.6022047242429507,-1.696404193532823,3.529500210434963,0.06646658324821374,0.04546986234548632,-2.1647454575858305,0.3203908814119479,-0.11644941974650383,0.21981179224308145
-0.5293192994217507,-1.1234592791430693,2.4758303979600806,0.8064093045324119,-0.43038847224983756,-0.054994488023512186,0.3405659338325041,-0.08369639626053484,1.3373534991101859,-0.938365289379664
-1.0268808733406483,0.38088933384452117,-1.1784534507154965,2.552806202318506,0.06968574691003722,0.07515563478078072,-0.09373392759620809,-0.32323430931777813,-0.18826878464933033,0.2225516465081644
-0.935848693909311,0.014505026106260217,-0.3553948365323587,-1.063374030538096,-0.06877360503982706,-0.0011560565492922611,-0.32950256837341213,0.13460566910542496,-0.06765904761312673,0.04642181374661858
-1.0349499164376803,0.010801575879165037,-0.3381598379665381,-1.0208307092190572,-0.025295092182925288,0.04421583137809237,-0.46526409648363803,0.14028609710819454,-0.0647204792774748,-0.1371711565332474
-1.0053081183330796,0.2141922257813916,-0.6043585246942791,-0.2737465663677125,-0.09530038883709058,0.07062051431098396,0.9679645331116945,0.04892344176702296,0.08503514461729966,0.20491418891685734
-1.1743230223449095,0.6096747196806261,-1.564796818102852,3.6144826216380515,0.05258081967687173,-0.3800535030621974,-2.0527689407826664,-0.22266890438494927,-0.29636572455590315,0.26842706390362536
-1.1505732682763448,0.5614751470930031,-1.6212561048826695,3.8247669456764926,-0.049272283003684976,0.21595984578796668,-1.7582826171979706,0.042679411265118664,-0.09357374928917193,0.5261356348508109
1.8241035217423056,-0.03601060859176333,-0.44043409627986124,-0.06338954118786369,-0.11864256548140867,-1.2140274622478158,-0.29895608741526175,-0.10273595185682423,0.7864831957379641,0.3941733366242349
1.8935359514515362,-0.07870830170952546,-0.1857767690249443,0.2007846989834814,0.09073796737588767,-0.28693790980997025,-0.0055611722615795,0.18550987546115266,-1.006309147817901,-1.0425311475672783
-1.144704857319392,0.4435026079849499,-1.3092840322410007,2.612460075134915,0.00961562810176114,0.04327392895519304,-0.995823351126163,-0.08351884283462206,-0.04042624142256144,0.19278932555790024
-1.0298630269249809,0.19382693306161955,-0.5449846572638742,-0.5750843680792946,-0.004173088811450106,0.29066316483484517,0.8374222407277581,0.2363405675982514,-0.0036224462461239763,-0.026258892667566418
-1.0309417355510475,0.0409290618114338,-0.4592908435850331,-0.46172009162238586,-0.014949011569340765,0.24823210273281232,0.7648295896501025,-0.2676541869374769,0.2549151244609177,0.47973414190346253
-1.024934971305323,-0.03949552597746527,-0.3212984245294694,-1.0272542866281653,-0.07432344684910468,-0.07055951567849672,-0.9198724204920987,-0.09118503048520647,0.27013860715412574,-0.004417955658922783
-0.9264960413182742,0.012375364452331256,-0.3557929436883372,-1.0235526195262572,-0.1538410336204653,-0.03448801823500046,-0.9325781954208507,0.18240009931456452,0.5147714133081797,-0.42661013330698655
-0.552692199109199,-1.0881095653649837,2.1282213782245742,0.5958245608541115,-0.4962432519721106,0.13924798471643737,0.12131219658297937,0.03107218628407887,0.18827482351503186,-0.5849607092369875
-0.9352861991187783,0.06429961055661133,-0.4232320545776448,-0.7550079990309799,0.006424091790129603,-0.06811387467584197,0.1794647132488623,-0.013965619807241552,0.21454473895385132,0.2191176608522152
2.0817946012224513,-0.17538911230130486,-0.36026864169934886,-0.041299182013488,-0.10812598647539395,-1.1435550569394057,0.002569060192051274,0.3166671787447329,0.7849938179143376,0.3051157223447598
0.1571065268425036,-0.6475468939443615,1.4502927522980662,0.49555635760964717,11.18732866424322,-0.3864779982722752,-0.13072726284462044,0.39963218054874516,0.8865704336103589,-1.0510337985192144
