index,p_component_0,p_component_1,p_component_2
0,1.9758915113504392e-200,1.0,0.0
1,0.0,1.0,0.0
2,2.5208924501877675e-187,1.0,0.0
3,1.0,3.474563617300283e-21,0.0
4,3.4833560412787293e-283,1.0,0.0
5,0.0007439995133159169,0.9992560004866833,0.0
6,7.763929212980637e-111,1.0,0.0
7,1.1044463403185094e-40,1.0,0.0
8,3.327052925496943e-13,0.9999999999996678,0.0
9,1.0,5.301658635840723e-27,0.0
10,1.8562598960490558e-55,1.0,0.0
11,7.184928302518931e-29,1.0,0.0
12,3.415141223196311e-189,1.0,0.0
13,4.347243106820611e-24,1.0,0.0
14,5.455209543287424e-06,0.9999945447904565,0.0
15,0.9999430526912703,5.6947308729781976e-05,0.0
16,5.532669583932667e-28,1.0,0.0
17,6.086985877016089e-36,1.0,0.0
18,0.0,1.0,0.0
19,1.0570903443186415e-14,0.0,0.9999999999999893
20,5.741474431076978e-18,0.0,1.0
21,1.1881315425587614e-15,0.0,1.0
22,4.952792717067846e-11,0.9999999999504725,0.0
23,0.0,1.0,0.0
24,1.2234502e-316,1.0,0.0
25,4.815880656417683e-40,1.0,0.0
26,6.450620978945885e-48,1.0,0.0
27,9.514876069727938e-116,1.0,0.0
28,0.9978792017078361,0.0021207982921640626,0.0
29,2.904810769534693e-121,1.0,0.0
30,5.047821286964741e-62,1.0,0.0
31,0.9999999956686656,4.3313346885014624e-09,0.0
32,6.241920518324631e-33,1.0,0.0
33,3.0845685397355674e-150,1.0,0.0
34,2.5249151981426233e-31,1.0,0.0
35,1.0421674141700772e-94,1.0,0.0
36,2.731719227262763e-30,1.0,0.0
37,4.852091067838303e-37,0.0,1.0
38,8.658691860575333e-162,1.0,0.0
39,2.179416454110256e-40,1.0,0.0
40,6.231912495412823e-36,1.0,0.0
41,8.58970421463101e-37,1.0,0.0
42,3.1764315519254543e-49,1.0,0.0
43,2.2447420089204195e-22,1.0,0.0
44,1.5507556523759953e-20,1.0,0.0
45,4.9953866718355647e-113,1.0,0.0
46,2.678984526006081e-24,0.0,1.0
47,7.459536615428682e-16,1.0,0.0
48,1.6887079568656323e-19,0.0,1.0
49,5.494523996114547e-19,0.0,1.0
50,8.550003599054455e-19,0.0,1.0
51,6.997454092298602e-37,0.0,1.0
52,3.825792182775182e-22,0.0,1.0
53,5.650110896717058e-95,1.0,0.0
54,1.7982159645194927e-50,1.0,0.0
55,9.701191604794524e-29,0.0,1.0
56,7.863877932879546e-251,1.0,0.0
57,5.1252395569321085e-20,1.0,0.0
58,2.6418255656342917e-32,0.0,1.0
59,1.6012449202586937e-60,0.0,1.0
60,1.395670126931679e-64,0.0,1.0
61,1.3550800184103317e-37,0.0,1.0
62,0.9994980128563739,0.0005019871436260398,0.0
63,8.007823544499795e-08,0.0,0.9999999199217645
64,1.906639627775067e-13,0.9999999999998099,0.0
65,1.5039001805817404e-10,0.9999999998496101,0.0
66,5.857694112179082e-16,0.0,1.0
67,5.166801472259489e-18,0.0,1.0
68,1.0,0.0,8.137211790637533e-246
69,2.811129968177825e-17,0.0,1.0
70,1.845625919512556e-129,1.0,0.0
71,1.0,0.0,3.163949587868541e-171
72,3.615668132660865e-130,1.0,0.0
73,6.667503719971515e-27,1.0,0.0
74,5.316789818363429e-16,0.0,1.0
75,3.619660540553142e-28,1.0,0.0
76,1.028777753308133e-32,0.0,1.0
77,3.10911478432853e-114,1.0,0.0
78,1.0,1.7156305200706774e-37,0.0
79,1.6956203781904869e-19,0.0,1.0
80,3.983865835452562e-21,0.0,1.0
81,1.0,0.0,9.212724164777653e-52
82,0.0,1.0,0.0
83,8.930286808021183e-235,1.0,0.0
