0,1,2
1.9758915107182102e-200,1.0,0.0
0.0,1.0,0.0
2.520892448525962e-187,1.0,0.0
1.0,3.474563618240461e-21,0.0
3.483356035166288e-283,1.0,0.0
0.0007439995131131861,0.9992560004868875,0.0
7.763929210879694e-111,1.0,0.0
1.1044463398666782e-40,1.0,0.0
3.32705292445329e-13,0.9999999999996678,0.0
1.0,5.3016586373295016e-27,0.0
1.8562598954318127e-55,1.0,0.0
7.184928300693414e-29,1.0,0.0
3.4151412219647613e-189,1.0,0.0
4.3472431056154144e-24,1.0,0.0
5.455209541710612e-06,0.9999945447904582,0.0
0.9999430526912543,5.6947308745539973e-05,0.0
5.53266958244746e-28,1.0,0.0
6.086985875456385e-36,1.0,0.0
0.0,1.0,0.0
1.0570903440218037e-14,0.0,0.9999999999999893
5.741474429182551e-18,0.0,1.0
1.1881315422134086e-15,0.0,1.0
4.9527927157727557e-11,0.9999999999504725,0.0
0.0,1.0,0.0
1.2234502e-316,1.0,0.0
4.815880654916842e-40,1.0,0.0
6.450620977003698e-48,1.0,0.0
9.514876062302497e-116,1.0,0.0
0.9978792017072526,0.002120798292747251,0.0
2.904810767514788e-121,1.0,0.0
5.047821284302124e-62,1.0,0.0
0.9999999956686656,4.3313346896705035e-09,0.0
6.241920516686019e-33,1.0,0.0
3.0845685396456194e-150,1.0,0.0
2.5249151975070237e-31,1.0,0.0
1.0421674138501794e-94,1.0,0.0
2.731719226091484e-30,1.0,0.0
4.852091066433743e-37,0.0,1.0
8.6586918570547e-162,1.0,0.0
2.1794164534039848e-40,1.0,0.0
6.231912493289932e-36,1.0,0.0
8.589704212215302e-37,1.0,0.0
3.1764315506828457e-49,1.0,0.0
2.2447420081123523e-22,1.0,0.0
1.550755651948544e-20,1.0,0.0
4.9953866706250646e-113,1.0,0.0
2.6789845252108608e-24,0.0,1.0
7.459536613304897e-16,1.0,0.0
1.688707956394264e-19,0.0,1.0
5.494523994561694e-19,0.0,1.0
8.550003596646268e-19,0.0,1.0
6.997454089593839e-37,0.0,1.0
3.8257921816724404e-22,0.0,1.0
5.650110892232378e-95,1.0,0.0
1.7982159640637594e-50,1.0,0.0
9.701191601784716e-29,0.0,1.0
7.86387793406591e-251,1.0,0.0
5.125239555581001e-20,1.0,0.0
2.641825564750877e-32,0.0,1.0
1.6012449194802886e-60,0.0,1.0
1.3956701262100905e-64,0.0,1.0
1.3550800179455483e-37,0.0,1.0
0.9994980128562332,0.0005019871437667134,0.0
8.007823542301957e-08,0.0,0.9999999199217645
1.906639627139683e-13,0.9999999999998099,0.0
1.5039001801644151e-10,0.9999999998496101,0.0
5.857694110579363e-16,0.0,1.0
5.1668014708362986e-18,0.0,1.0
1.0,0.0,8.137211792791152e-246
2.811129967400586e-17,0.0,1.0
1.8456259190584983e-129,1.0,0.0
1.0,0.0,3.163949588709518e-171
3.615668131124962e-130,1.0,0.0
6.667503718045798e-27,1.0,0.0
5.31678981677879e-16,0.0,1.0
3.619660539494564e-28,1.0,0.0
1.0287777529540412e-32,0.0,1.0
3.1091147832502838e-114,1.0,0.0
1.0,1.7156305204932659e-37,0.0
1.695620377652262e-19,0.0,1.0
3.983865834209372e-21,0.0,1.0
1.0,0.0,9.212724167601351e-52
0.0,1.0,0.0
8.93028680196112e-235,1.0,0.0
1.684919740685101e-16,0.0,1.0
2.0586478336389917e-122,1.0,0.0
1.3792449931235223e-31,1.0,0.0
