0,1,2
6.223010782155776e-66,0.0,1.0
4.4331788627116224e-26,1.0,2.9450051784151067e-280
6.274903394058236e-07,0.0,0.9999993725096609
2.4396383092152965e-91,1.0,0.0
3.4060243309394474e-217,1.0,5.732966644472053e-243
8.742836695550873e-72,1.0,4.6491430845800665e-271
2.7186953579752374e-28,0.0,1.0
1.9264281424055383e-60,1.0,1.3391298807157e-311
5.720031723616276e-41,0.0,1.0
1.0817636971194847e-23,0.0,1.0
1.0653216837697453e-13,0.0,0.9999999999998934
3.967698190892254e-27,0.0,1.0
0.0,1.0,0.0
1.6462458690694496e-49,1.0,0.0
1.7962711930699576e-34,0.0,1.0
1.168220626906759e-23,0.0,1.0
1.558658777291469e-37,0.0,1.0
5.574307712449354e-286,0.0,1.0
6.525584535112934e-10,0.0,0.9999999993474411
8.069466047236032e-54,0.0,1.0
6.528830588315764e-13,0.0,0.9999999999993463
3.0416341383966723e-15,0.9999999999999973,2.1568340784480206e-216
7.814111316444408e-14,0.0,0.9999999999999218
1.601753604154152e-40,0.0,1.0
3.424351526336354e-52,0.0,1.0
1.0,0.0,1.9209112395672902e-72
0.9891721493358675,0.010827850664132917,7.181580845930597e-260
1.0,0.0,6.5183070362527245e-21
6.817882191753694e-25,0.0,1.0
8.117915264240145e-22,0.0,1.0
1.0,0.0,7.605002223215185e-29
5.31706012764764e-17,0.0,1.0
9.003209099536483e-17,0.0,1.0
1.779311456179785e-48,1.0,1.5728342591690657e-252
1.0367780857408903e-28,0.0,1.0
2.886537607929641e-14,0.0,0.9999999999999716
1.1206470656392347e-21,0.0,1.0
5.400746397786079e-22,0.0,1.0
3.295980565299928e-38,0.0,1.0
1.91182947271569e-30,0.0,1.0
3.67619009674075e-40,1.0,2.1378260701321622e-252
1.9799208351632835e-108,1.0,0.0
1.2146760454133028e-55,1.0,2.9618075190477103e-241
0.9999999998399645,0.0,1.600356080537459e-10
2.9418285994283157e-13,0.0,0.9999999999997051
1.4853836063734153e-18,1.0,0.0
0.9999999999938538,0.0,6.146434848646399e-12
6.683219232476419e-281,1.0,0.0
1.5377502188013954e-15,0.0,1.0
4.760251979171116e-12,0.0,0.9999999999952394
6.527013135196344e-38,0.0,1.0
3.218351850124699e-16,0.0,1.0
2.8824072196614545e-102,1.0,3.144682008285204e-221
2.1331275658163915e-54,0.0,1.0
1.8220097762057534e-48,0.0,1.0
1.2359192669605644e-264,1.0,0.0
6.892015641658852e-26,0.0,1.0
9.88824573694551e-31,0.0,1.0
1.0,0.0,5.473386696883419e-28
1.0281003826381817e-162,1.0,0.0
1.1165087120254428e-27,0.0,1.0
3.974422530228373e-96,1.0,0.0
3.7754771572207206e-297,1.0,0.0
3.0561603748295444e-16,0.0,1.0
3.309261401545721e-31,0.0,1.0
4.6686789459480794e-79,0.0,1.0
1.726168457625029e-26,1.0,3.9557979896860354e-281
2.1127374592434062e-32,0.0,1.0
6.25710144938607e-32,0.0,1.0
5.203232706805999e-13,0.0,0.9999999999994795
1.3036161822917164e-54,0.0,1.0
0.99999999998865,1.1350025430239886e-11,0.0
3.361428576300771e-55,0.0,1.0
8.265099967413643e-25,0.0,1.0
4.692376023372698e-52,0.0,1.0
1.0437422433891028e-16,0.0,1.0
9.427170307518026e-43,0.0,1.0
1.2160427705291604e-20,1.0,9.310459802420526e-298
1.506812519989596e-17,0.0,1.0
4.409196793e-314,1.0,0.0
8.877435701302296e-68,1.0,0.0
5.94301056534421e-21,0.0,1.0
7.416700844770315e-10,0.0,0.9999999992583284
0.0,1.0,0.0
5.426313061334686e-27,0.0,1.0
3.4663170526616306e-69,0.0,1.0
1.6815244483910932e-21,0.0,1.0
1.4004215300071155e-28,0.0,1.0
4.688827672385857e-14,0.0,0.9999999999999538
1.3047577671309621e-108,0.0,1.0
1.1391688608004986e-26,0.0,1.0
1.6390895540297688e-09,0.9999999983609111,1.5386339464646395e-256
3.3703950982977526e-39,1.0,3.1493477512106318e-258
0.0,1.0,0.0
8.168505205079698e-41,0.0,1.0
1.0668511893811543e-21,0.0,1.0
0.0,1.0,0.0
5.609940343921372e-24,0.0,1.0
2.1634767727542064e-35,0.0,1.0
7.3595394370863125e-214,1.0,2.990641899038164e-278
1.1693505389193776e-25,0.0,1.0
1.2204267057667178e-07,0.9999998779573293,1.2994169840916651e-269
4.301172878406475e-28,0.0,1.0
1.623168361587675e-146,1.0,2.33982176643615e-285
1.241009501201926e-50,0.0,1.0
7.608322792007755e-53,1.0,6.090605058211589e-270
9.370874319037827e-61,0.0,1.0
9.257816454583524e-47,0.0,1.0
7.946838744855213e-38,1.0,0.0
2.776239213034188e-29,0.0,1.0
4.240656460111892e-23,0.0,1.0
0.9994568962563265,0.0,0.0005431037436734355
1.0,5.400556773987165e-32,0.0
3.5976287596232745e-25,0.0,1.0
8.906736913639545e-69,1.0,2.2268415259684776e-266
1.0178426447871054e-17,0.0,1.0
1.3958257934241674e-184,1.0,8.23666676612648e-269
4.671668475833387e-26,0.0,1.0
0.9992966510376096,0.000703348962390467,2.5314783802603817e-262
3.252994855491075e-64,0.0,1.0
3.31805414462497e-65,0.0,1.0
1.747992120607212e-216,1.0,9.528500152683858e-270
6.155381022679656e-42,0.0,1.0
2.5196083611187274e-40,0.0,1.0
3.873765916150126e-12,0.0,0.9999999999961267
7.463550390204558e-17,0.0,1.0
0.9964122597151164,0.00358774028488372,6.817177618041534e-253
9.029456865332368e-17,0.0,1.0
5.150359016180165e-28,0.0,1.0
0.9999999999999787,0.0,2.1037488391511568e-14
2.6515523980764675e-112,1.0,0.0
1.4972818092467543e-17,0.0,1.0
1.622159735617536e-36,0.0,1.0
0.9830261540953859,0.01697384590461458,6.671013549874337e-270
1.0,0.0,0.0
1.0,0.0,4.80114493994748e-19
0.0,1.0,2.019e-320
3.4915926946445963e-25,0.0,1.0
4.161575294322058e-44,0.0,1.0
2.025778272965064e-09,0.0,0.9999999979742213
8.064234476610178e-12,0.0,0.9999999999919353
4.1522763505365815e-33,0.0,1.0
2.5683202823187858e-30,0.0,1.0
1.2813920156386397e-27,0.0,1.0
1.5506475631460512e-53,1.0,1.2131247894438124e-256
3.8580238267820555e-14,0.0,0.9999999999999609
2.0959608895786777e-16,0.0,1.0
4.412432066069124e-15,0.0,0.9999999999999964
1.2774033398409157e-46,1.0,1.382999019747678e-230
1.5738550280451977e-64,0.0,1.0
7.601529652658483e-129,1.0,6.5079313744451694e-242
1.4211638300241223e-23,0.0,1.0
5.090770243734379e-90,0.0,1.0
3.0230120061876997e-24,0.0,1.0
3.4840782631202635e-44,1.0,9.896241311895129e-260
1.0,0.0,6.852937009976455e-18
4.707007973017877e-60,1.0,1.2494428161354446e-303
1.9487275494310043e-227,1.0,0.0
1.270097291561913e-97,0.0,1.0
9.221213503567534e-29,0.0,1.0
1.0067742545723639e-13,0.9999999999998987,3.838488598445462e-282
9.487780357675457e-32,0.0,1.0
2.235858128727765e-156,1.0,8.747310468207006e-228
3.8901943925708435e-93,1.0,3.950661644907483e-290
3.730883634353735e-26,1.0,2.9737278086505956e-157
