index,label
0,2
1,1
2,2
3,1
4,1
5,1
6,2
7,1
8,2
9,2
10,2
11,2
12,1
13,1
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,1
22,2
23,2
24,2
25,0
26,0
27,0
28,2
29,2
30,0
31,2
32,2
33,1
34,2
35,2
36,2
37,2
38,2
39,2
40,1
41,1
42,1
43,0
44,2
45,1
46,0
47,1
48,2
49,2
50,2
51,2
52,1
53,2
54,2
55,1
56,2
57,2
58,0
59,1
60,2
61,1
62,1
63,2
64,2
65,2
66,1
67,2
68,2
69,2
70,2
71,0
72,2
73,2
74,2
75,2
76,2
77,1
78,2
79,1
80,1
81,2
82,2
83,1
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,1
92,1
93,1
94,2
95,2
96,1
97,2
98,2
99,1
100,2
101,1
102,2
103,1
104,2
105,1
106,2
107,2
108,1
109,2
110,2
111,0
112,0
113,2
114,1
115,2
116,1
117,2
118,0
119,2
120,2
121,1
122,2
123,2
124,2
125,2
126,0
127,2
128,2
129,0
130,1
131,2
132,2
133,0
134,0
135,0
136,1
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,1
145,2
146,2
147,2
148,1
149,2
150,1
151,2
152,2
153,2
154,1
155,0
156,1
157,1
158,2
159,2
160,1
161,2
162,1
163,1
164,1
165,2
166,2
167,2
168,2
169,2
170,2
171,1
172,0
173,0
174,2
175,0
176,2
177,1
178,2
179,1
180,2
181,2
182,1
183,1
184,2
185,2
186,1
187,2
188,1
189,1
190,2
191,1
192,1
193,2
194,2
195,1
196,1
197,1
198,0
199,2
200,2
201,2
202,1
203,2
204,1
205,1
206,1
207,1
208,2
209,2
210,0
211,2
212,2
213,2
214,2
215,2
216,1
217,1
218,0
219,2
220,1
221,2
222,2
223,2
224,0
225,2
226,1
227,2
228,2
229,1
230,1
231,2
232,1
233,2
234,1
235,2
236,2
237,2
238,2
239,0
240,2
241,1
242,2
243,2
244,1
245,2
246,2
247,2
248,0
249,2
250,2
251,0
252,2
253,2
254,1
255,2
256,1
257,1
258,1
259,0
260,1
261,2
262,2
263,1
264,1
265,0
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,1
274,2
275,2
276,2
277,0
278,2
279,2
280,0
281,0
282,2
283,1
284,2
285,1
286,1
287,2
288,2
289,1
290,2
291,1
292,1
293,2
294,0
295,1
296,2
297,2
298,0
299,2
300,1
301,2
302,2
303,1
304,2
305,2
306,1
307,1
308,1
309,2
310,2
311,2
312,1
313,1
314,2
315,1
316,1
317,2
318,0
319,2
320,1
321,2
322,1
323,1
324,0
325,1
326,0
327,2
328,1
329,2
330,2
331,1
332,1
333,0
334,1
335,1
336,0
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,1
345,1
346,1
347,1
348,2
349,2
350,2
351,2
352,1
353,2
354,1
355,2
356,2
357,2
358,2
359,2
360,1
361,1
362,1
363,2
364,2
365,0
366,2
367,2
368,0
369,0
370,1
371,1
372,2
373,2
374,1
375,1
376,2
377,2
378,2
379,1
380,1
381,1
382,2
383,2
384,1
385,2
386,2
387,2
388,2
389,1
390,2
391,2
392,0
393,2
394,2
395,2
396,2
397,2
398,2
399,1
400,2
401,2
402,2
403,2
404,2
405,2
406,1
407,2
408,2
409,1
410,2
411,2
412,1
413,1
414,1
415,2
416,1
417,0
418,2
419,1
420,2
421,0
422,2
423,2
424,1
425,2
