index,p_component_0,p_component_1,p_component_2
0,6.223010786910004e-66,0.0,1.0
1,4.4331788645397663e-26,1.0,2.9450051786541596e-280
2,6.274903394292255e-07,0.0,0.9999993725096609
3,2.4396383121228064e-91,1.0,0.0
4,3.4060243316023684e-217,1.0,5.732966644593933e-243
5,8.742836702544024e-72,1.0,4.649143084805756e-271
6,2.7186953581330613e-28,0.0,1.0
7,1.9264281434916613e-60,1.0,1.3391298808683e-311
8,5.720031725898802e-41,0.0,1.0
9,1.081763697312029e-23,0.0,1.0
10,1.0653216838232621e-13,0.0,0.9999999999998934
11,3.967698191318125e-27,0.0,1.0
12,0.0,1.0,0.0
13,1.6462458692330478e-49,1.0,0.0
14,1.7962711932782286e-34,0.0,1.0
15,1.168220626977647e-23,0.0,1.0
16,1.5586587776015894e-37,0.0,1.0
17,5.574307729828639e-286,0.0,1.0
18,6.525584535840874e-10,0.0,0.9999999993474411
19,8.069466053090714e-54,0.0,1.0
20,6.528830589256044e-13,0.0,0.9999999999993463
21,3.0416341385688128e-15,0.9999999999999973,2.1568340784135694e-216
22,7.814111317714209e-14,0.0,0.9999999999999218
23,1.6017536048679773e-40,0.0,1.0
24,3.4243515297019826e-52,0.0,1.0
25,1.0,0.0,1.9209112394622483e-72
26,0.9891721493365334,0.010827850663466917,7.181580844919015e-260
27,1.0,0.0,6.5183070359188834e-21
28,6.81788219261028e-25,0.0,1.0
29,8.1179152649098825e-22,0.0,1.0
30,1.0,0.0,7.605002223178981e-29
31,5.317060128025667e-17,0.0,1.0
32,9.003209100978277e-17,0.0,1.0
33,1.779311456304468e-48,1.0,1.5728342593192665e-252
34,1.0367780861117622e-28,0.0,1.0
35,2.8865376080705255e-14,0.0,0.9999999999999716
36,1.1206470658962062e-21,0.0,1.0
37,5.400746398202213e-22,0.0,1.0
38,3.2959805670725384e-38,0.0,1.0
39,1.9118294729761837e-30,0.0,1.0
40,3.676190097978829e-40,1.0,2.1378260702164982e-252
41,1.979920835795733e-108,1.0,0.0
42,1.2146760467773131e-55,1.0,2.961807519147042e-241
43,0.9999999998399645,0.0,1.6003560804874143e-10
44,2.941828599589467e-13,0.0,0.9999999999997051
45,1.485383606566548e-18,1.0,0.0
46,0.9999999999938538,0.0,6.146434848207791e-12
47,6.683219233512019e-281,1.0,0.0
48,1.5377502189043873e-15,0.0,1.0
49,4.7602519794860145e-12,0.0,0.9999999999952394
50,6.527013135541576e-38,0.0,1.0
51,3.2183518503295713e-16,0.0,1.0
52,2.8824072198578238e-102,1.0,3.144682008263396e-221
53,2.1331275682572097e-54,0.0,1.0
54,1.8220097775585494e-48,0.0,1.0
55,1.2359192692959436e-264,1.0,0.0
56,6.892015642444049e-26,0.0,1.0
57,9.888245738105506e-31,0.0,1.0
58,1.0,0.0,5.473386696896409e-28
59,1.0281003837305561e-162,1.0,0.0
