Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
0.0003970315410486528,-0.00021401651853237308,-0.009709527836558268,0.00014268982312787184,0.0002172366959113985,3.8158705644336836e-05,7.702408593942397e-05,9.17544202159187e-06,-0.0002287468914646242,2.066998211208033e-05
0.22765789387163315,-0.00011712017387661734,-0.08193026334722198,2.5204137647997006e-05,1.3946201239756045e-05,0.7166663124370004,-3.4537611076102647e-06,1.7292876824740974e-05,0.19297070165868535,0.11248395320954768
-0.0508148227438808,-0.0007679442884389329,-0.15730468871473785,0.04314948168407092,-0.0008833364836771689,0.15740536598797836,0.05603274480155175,0.0003791382416692373,-0.04194116624109768,-0.0035612642918498513
-0.1345315363150226,0.03305095776179483,-0.10749473419324429,0.16607243972681546,-2.974647067071576e-06,2.4908694483748347e-05,-3.814748110286313e-05,3.949779311570694e-05,8.648104146922793e-05,9.440301899127652e-06
-0.1458937037831537,0.0014472290981454928,-0.09376468835802525,-0.11818843847285807,8.045943115710255e-06,4.0815040387443045e-05,-0.00010616034884729723,0.0007422078616183331,-0.0022330844388331445,-1.9784063125607544e-05
-0.04708235765112192,-3.111596187159348e-05,-0.02534701911182532,-0.0007715727369555197,5.534589548611309e-06,-3.970903205065252e-06,1.203948907745778e-05,8.551892862241383e-05,-0.01390456786368922,0.0025022468245219994
-0.07467308587773787,-0.002852783591667675,-0.03517288296628347,-0.05967189218963997,-7.483331561763671e-05,-2.2212834245262945e-05,-0.00047581292801260344,3.978725656913815e-05,6.17830772251854e-05,-5.962875534889706e-05
-0.10724435457993714,0.06471822490515641,-0.15771670522336748,0.35057992613305716,0.12599944496111362,-1.0081872374301904e-05,-0.05172454283650443,-1.3597065590078701e-05,0.00014173944058718888,1.5856035616998224e-05
-0.039104187570278164,-0.014522964200318754,-0.0002934370058500663,-3.1893853479441276e-05,0.02230380953906712,-5.193525982009084e-05,0.00011290367645617212,2.6968112671047473e-05,-4.469706934296321e-05,-2.725603817114381e-07
-0.07036359601629955,-0.0001851527052771153,-0.014234302956635905,0.003408824428553119,7.446981141685495e-06,-0.00013831149142598087,0.03625242783313999,1.5850110898895226e-05,-3.2782784169394606e-05,0.002622577753323597
-0.0868725112226021,0.0019048842103043574,-0.0553251725363165,0.07827411744845099,-2.152194944621832e-05,-2.4138496717367414e-05,6.856069994376146e-05,1.2663853289712817e-05,1.1936814010905523e-05,-3.646210838280342e-05
-0.05601062762268922,-4.374150143564653e-05,-0.0007981385060581541,0.07585809120892074,-6.562817152325751e-05,0.00011197935959783948,0.06823208141345402,-4.656046438002023e-05,-0.0004328278417119259,0.00015903116467212908
-0.01649518072093622,-0.008647586590500056,0.0013595834566817741,-0.048678075959614,-0.0002878762428810622,-0.0025372774256583685,2.1948399998365092e-05,2.131561999014184e-05,0.003655852507797075,-0.00025872258453754285
8.473099932832826e-05,0.06667734244092732,0.05589112963569202,-0.00019657993198076885,-0.0003843612122302382,-6.540424623872478e-05,-0.000778813869244227,0.14887888370061175,0.008991812147019006,2.665386673658169e-06
-0.2634402121201935,0.030472872604280676,-0.17365326265276465,-0.21080741007599252,-1.3425058884999763e-06,3.472414837594786e-05,0.12361487442770508,0.00047793751252040014,1.671076003182847e-05,-0.00016853568633033082
-0.000712332146613656,-2.8178789869708838e-05,-0.00040233346060747143,3.568989702067997e-05,1.1997768984102668e-05,1.232885384409844e-05,-5.256674394498499e-05,2.2581012929359185e-05,-2.994673832026524e-06,6.201863888905768e-07
0.0034618168913662676,-6.69672265008894e-05,-0.04690321096114566,0.00018119230559260997,1.8477498141358545e-05,0.048840344056573344,0.06105827274403596,3.710433449448294e-05,-1.0814351528118104e-05,-4.0161650397522546e-05
-0.017783392532787705,0.044246203382832285,2.3427114785903053e-05,-0.002698860750425612,-6.179560883698911e-06,-3.448231442914611e-06,-1.6297010699026426e-05,0.10160878150063521,-0.004735940255056207,1.7587357940092835e-05
0.5038471181316342,-0.048238703747264425,-0.09267599268600853,-2.26152109328531e-05,-0.05070446895781204,-0.24760259114533129,8.982958457537803e-06,-2.23727150963427e-05,0.1534343080138197,0.12468244417179149
